cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,104,sortant,I,V,D2,0.36,119.7,21.0,1.0,,21425.0
chalon,106,entrant,I,C,D2,0.23,124.1,25.0,1.0,36.0,25056.0
chalon,106,entrant,I,V,D2,0.18,124.4,25.0,1.0,36.0,25056.0
chalon,106,sortant,I,C,D2,0.26,123.1,25.0,1.0,36.0,25056.0
chalon,106,sortant,I,V,D2,0.09,123.5,25.0,1.0,36.0,25056.0
chalon,113,entrant,I,C,D2,0.1,151.7,89.0,1.0,34.0,89431.0
chalon,113,entrant,I,V,D2,0.03,151.7,89.0,1.0,34.0,89431.0
chalon,113,sortant,I,C,D2,0.02,156.9,89.0,1.0,34.0,89431.0
chalon,113,sortant,I,V,D2,0.0,156.9,89.0,1.0,34.0,89431.0
chalon,125,sortant,I,C,D2,0.18,160.4,58.0,1.0,1.0,58112.0
chalon,125,sortant,I,V,D2,0.13,160.4,58.0,1.0,1.0,58112.0
chalon,126,entrant,I,C,D2,0.3,126.0,25.0,1.0,36.0,25056.0
chalon,126,entrant,I,V,D2,0.22,126.0,25.0,1.0,36.0,25056.0
chalon,126,sortant,I,C,D2,0.33,125.1,25.0,1.0,36.0,25056.0
chalon,126,sortant,I,V,D2,0.14,125.3,25.0,1.0,36.0,25056.0
chalon,130,entrant,I,C,D2,0.12,193.2,89.0,1.0,33.0,89130.0
chalon,130,entrant,I,V,D2,0.0,193.2,89.0,1.0,33.0,89130.0
chalon,130,sortant,I,C,D2,0.03,179.9,89.0,1.0,33.0,89130.0
chalon,130,sortant,I,V,D2,0.02,179.9,89.0,1.0,33.0,89130.0
chalon,139,entrant,I,C,D2,7.05,119.3,89.0,1.0,,89025.0
chalon,139,entrant,I,V,D2,0.48,119.2,89.0,1.0,,89025.0
chalon,139,sortant,I,C,D2,4.99,124.4,89.0,1.0,,89025.0
chalon,139,sortant,I,V,D2,2.69,124.4,89.0,1.0,,89025.0
chalon,140,sortant,I,C,D2,0.47,110.7,58.0,1.0,,58046.0
chalon,140,sortant,I,V,D2,0.26,110.7,58.0,1.0,,58046.0
chalon,146,entrant,I,C,D2,0.2,146.2,25.0,1.0,,25462.0
chalon,146,entrant,I,V,D2,0.15,146.2,25.0,1.0,,25462.0
chalon,146,sortant,I,C,D2,0.26,134.2,25.0,1.0,,25462.0
chalon,146,sortant,I,V,D2,0.11,134.2,25.0,1.0,,25462.0
chalon,154,entrant,I,C,D2,0.11,113.0,21.0,1.0,27.0,21231.0
chalon,154,entrant,I,V,D2,0.06,113.0,21.0,1.0,27.0,21231.0
chalon,154,sortant,I,C,D2,0.07,115.7,21.0,1.0,27.0,21231.0
chalon,154,sortant,I,V,D2,0.08,109.9,21.0,1.0,27.0,21231.0
chalon,158,entrant,I,C,D2,0.42,132.0,21.0,1.0,25.0,21317.0
chalon,158,entrant,I,V,D2,0.22,132.0,21.0,1.0,25.0,21317.0
chalon,158,sortant,I,C,D2,0.43,120.1,21.0,1.0,25.0,21317.0
chalon,158,sortant,I,V,D2,0.53,120.1,21.0,1.0,25.0,21317.0
chalon,160,sortant,I,C,D2,0.01,125.5,58.0,1.0,13.0,58118.0
chalon,160,sortant,I,V,D2,0.02,125.5,58.0,1.0,13.0,58118.0
chalon,163,sortant,I,C,D2,0.06,104.1,39.0,1.0,,39546.0
chalon,163,sortant,I,V,D2,0.08,104.1,39.0,1.0,,39546.0
chalon,164,entrant,I,C,D2,0.44,143.4,58.0,1.0,1.0,58194.0
chalon,164,entrant,I,V,D2,0.26,144.0,58.0,1.0,1.0,58194.0
chalon,164,sortant,I,C,D2,0.23,152.0,58.0,1.0,1.0,58194.0
chalon,164,sortant,I,V,D2,0.16,152.0,58.0,1.0,1.0,58194.0
chalon,171,entrant,I,C,D2,0.16,120.8,70.0,1.0,16.0,70513.0
chalon,171,entrant,I,V,D2,0.15,120.8,70.0,1.0,16.0,70513.0
chalon,192,entrant,I,C,D2,0.09,159.8,89.0,1.0,6.0,89024.0
chalon,192,entrant,I,C,D3,0.01,221.6,89.0,1.0,6.0,89024.0
chalon,192,entrant,I,V,D2,0.03,159.4,89.0,1.0,6.0,89024.0
chalon,192,entrant,I,V,D3,0.0,221.6,89.0,1.0,6.0,89024.0
chalon,192,sortant,I,C,D2,0.06,159.4,89.0,1.0,6.0,89024.0
chalon,192,sortant,I,C,D3,0.01,221.9,89.0,1.0,6.0,89024.0
chalon,192,sortant,I,V,D2,0.04,159.3,89.0,1.0,6.0,89024.0
chalon,192,sortant,I,V,D3,0.0,221.9,89.0,1.0,6.0,89024.0
chalon,205,sortant,I,C,D2,0.04,101.1,21.0,1.0,27.0,21200.0
chalon,205,sortant,I,V,D2,0.05,101.1,21.0,1.0,27.0,21200.0
chalon,211,entrant,I,C,D2,0.07,107.8,71.0,1.0,18.0,71270.0
chalon,211,entrant,I,V,D2,0.08,107.8,71.0,1.0,18.0,71270.0
chalon,211,sortant,I,C,D2,0.1,106.8,71.0,1.0,18.0,71270.0
chalon,211,sortant,I,V,D2,0.05,106.8,71.0,1.0,18.0,71270.0
chalon,216,entrant,I,C,D2,0.01,199.4,90.0,1.0,17.0,90010.0
chalon,216,entrant,I,C,D3,0.03,200.6,90.0,1.0,17.0,90010.0
chalon,216,entrant,I,V,D2,0.0,199.5,90.0,1.0,17.0,90010.0
chalon,216,entrant,I,V,D3,0.0,200.6,90.0,1.0,17.0,90010.0
chalon,216,sortant,I,C,D2,0.05,198.4,90.0,1.0,17.0,90010.0
chalon,216,sortant,I,C,D3,0.04,231.1,90.0,1.0,17.0,90010.0
chalon,216,sortant,I,V,D2,0.01,198.4,90.0,1.0,17.0,90010.0
chalon,216,sortant,I,V,D3,0.01,231.1,90.0,1.0,17.0,90010.0
chalon,219,sortant,I,C,D2,0.28,105.7,39.0,1.0,,39434.0
chalon,219,sortant,I,V,D2,0.38,105.7,39.0,1.0,,39434.0
chalon,220,sortant,I,C,D2,0.01,108.4,21.0,1.0,,21349.0
chalon,220,sortant,I,V,D2,0.01,108.4,21.0,1.0,,21349.0
chalon,221,entrant,I,C,D2,0.08,197.9,89.0,1.0,2.0,89387.0
chalon,221,entrant,I,C,D3,0.23,224.2,89.0,1.0,2.0,89387.0
chalon,221,entrant,I,V,D2,0.03,197.9,89.0,1.0,2.0,89387.0
chalon,221,entrant,I,V,D3,0.06,224.2,89.0,1.0,2.0,89387.0
chalon,221,sortant,I,C,D2,0.04,193.7,89.0,1.0,2.0,89387.0
chalon,221,sortant,I,C,D3,0.09,226.7,89.0,1.0,2.0,89387.0
chalon,221,sortant,I,V,D2,0.03,193.7,89.0,1.0,2.0,89387.0
chalon,221,sortant,I,V,D3,0.07,226.7,89.0,1.0,2.0,89387.0
chalon,228,sortant,I,C,D3,0.01,238.8,89.0,1.0,2.0,89461.0
chalon,228,sortant,I,V,D3,0.01,238.8,89.0,1.0,2.0,89461.0
chalon,229,entrant,I,C,D2,0.0,119.7,21.0,1.0,,21237.0
chalon,229,entrant,I,V,D2,0.0,119.7,21.0,1.0,,21237.0
chalon,229,sortant,I,C,D2,0.0,120.0,21.0,1.0,,21237.0
chalon,229,sortant,I,V,D2,0.0,120.0,21.0,1.0,,21237.0
chalon,234,entrant,I,C,D2,0.16,147.2,25.0,1.0,,25462.0
chalon,234,entrant,I,V,D2,0.12,147.2,25.0,1.0,,25462.0
chalon,234,sortant,I,C,D2,0.22,135.2,25.0,1.0,,25462.0
chalon,234,sortant,I,V,D2,0.09,135.2,25.0,1.0,,25462.0
chalon,266,entrant,I,C,D2,0.35,125.3,25.0,1.0,36.0,25056.0
chalon,266,entrant,I,V,D2,0.25,125.3,25.0,1.0,36.0,25056.0
chalon,266,sortant,I,C,D2,0.36,125.1,25.0,1.0,36.0,25056.0
chalon,266,sortant,I,V,D2,0.14,125.3,25.0,1.0,36.0,25056.0
chalon,274,entrant,I,C,D2,0.19,135.4,39.0,1.0,,39097.0
chalon,274,entrant,I,V,D2,0.12,135.4,39.0,1.0,,39097.0
chalon,276,entrant,I,C,D2,0.14,111.6,21.0,1.0,27.0,21231.0
chalon,276,entrant,I,V,D2,0.08,111.6,21.0,1.0,27.0,21231.0
chalon,276,sortant,I,C,D2,0.09,115.7,21.0,1.0,27.0,21231.0
chalon,276,sortant,I,V,D2,0.1,110.4,21.0,1.0,27.0,21231.0
chalon,281,entrant,I,C,D2,0.14,190.9,89.0,1.0,33.0,89277.0
chalon,281,entrant,I,V,D2,0.04,190.9,89.0,1.0,33.0,89277.0
chalon,281,sortant,I,C,D2,0.25,170.6,89.0,1.0,33.0,89277.0
