M1,label_secteur,emploi,nb_etab
14,Entreposage / services transport,816,34
14,Fabrication boissons,0,0
14,Genie civil,420,10
14,Ind. alimentaires,528,107
14,Industrie automobile,16,8
14,Industrie chimique,0,0
14,Industrie papier/carton,0,0
14,Machines/equipements,1268,16
14,Metallurgie,6069,21
14,Produits metalliques,5209,106
14,Produits mineraux,81,22
14,Transports terrestres,627,91
14,Travail bois,126,13
14,Travaux construction spec.,2602,397
15,Caoutchouc/plastique,0,0
15,Commerce gros,144,12
15,Construction batiments,14,1
15,Entreposage / services transport,1,1
15,Genie civil,1,1
15,Ind. alimentaires,52,7
15,Industrie automobile,0,0
15,Machines/equipements,273,3
15,Metallurgie,102,1
15,Produits metalliques,56,5
15,Produits mineraux,0,0
15,Transports terrestres,55,7
15,Travaux construction spec.,89,23
16,Caoutchouc/plastique,0,0
16,Commerce gros,1223,146
16,Construction batiments,85,13
16,Entreposage / services transport,270,30
16,Genie civil,381,13
16,Ind. alimentaires,626,81
16,Industrie automobile,6740,8
16,Industrie chimique,0,0
16,Industrie papier/carton,6,1
16,Industries extractives,1,1
16,Machines/equipements,0,0
16,Metallurgie,0,0
16,Produits metalliques,187,10
16,Produits mineraux,23,6
16,Transports terrestres,504,30
16,Travail bois,138,7
16,Travaux construction spec.,1145,151
17,Autres materiels transport,5890,20
17,Caoutchouc/plastique,3,1
17,Commerce gros,4099,426
17,Construction batiments,130,34
17,Entreposage / services transport,487,46
17,Fabrication boissons,0,0
17,Genie civil,81,4
17,Ind. alimentaires,1991,349
17,Industrie automobile,141,3
17,Industrie chimique,2,1
17,Industrie papier/carton,310,10
17,Industries extractives,0,0
17,Machines/equipements,16312,61
17,Metallurgie,14,1
17,Produits metalliques,1775,49
17,Produits mineraux,176,16
17,Transports terrestres,2304,145
17,Travail bois,23,4
17,Travaux construction spec.,4170,893
18,Caoutchouc/plastique,421,24
18,Commerce gros,11717,669
18,Construction batiments,460,104
18,Entreposage / services transport,3353,180
18,Fabrication boissons,2,1
18,Genie civil,4499,30
18,Ind. alimentaires,2928,201
18,Industrie automobile,232,9
18,Industrie chimique,63,14
18,Industrie papier/carton,133,7
18,Industries extractives,114,13
18,Machines/equipements,2765,24
18,Metallurgie,8,1
18,Produits metalliques,1103,63
18,Produits mineraux,400,28
18,Transports terrestres,6294,166
18,Travail bois,114,15
18,Travaux construction spec.,5190,765
19,Caoutchouc/plastique,501,5
19,Commerce gros,41,11
19,Construction batiments,1,1
19,Entreposage / services transport,20,2
19,Fabrication boissons,0,0
19,Genie civil,0,0
19,Ind. alimentaires,31,10
19,Industrie automobile,0,0
19,Industrie chimique,35,3
19,Industrie papier/carton,8,1
19,Industries extractives,6,1
19,Machines/equipements,5,3
19,Metallurgie,2,1
19,Produits metalliques,38,4
19,Produits mineraux,0,1
19,Transports terrestres,64,9
19,Travail bois,1,1
19,Travaux construction spec.,238,63
20,Autres materiels transport,0,0
20,Caoutchouc/plastique,800,43
20,Commerce gros,8923,988
20,Construction batiments,564,132
20,Entreposage / services transport,3141,113
20,Fabrication boissons,198,43
20,Genie civil,1242,37
20,Ind. alimentaires,3555,422
20,Industrie automobile,0,0
20,Industrie chimique,1759,45
20,Industrie papier/carton,2832,23
20,Industries extractives,6,1
20,Machines/equipements,3627,55
20,Metallurgie,236,12
20,Produits metalliques,6624,159
20,Produits mineraux,8791,93
20,Transports terrestres,12171,348
20,Travail bois,84,15
20,Travaux construction spec.,5629,825
21,Caoutchouc/plastique,82,3
21,Commerce gros,274,35
21,Construction batiments,74,7
21,Entreposage / services transport,110,8
21,Fabrication boissons,0,0
21,Genie civil,0,0
21,Ind. alimentaires,319,33
21,Industrie automobile,14,2
21,Industrie papier/carton,45,1
21,Machines/equipements,1,1
21,Metallurgie,24,2
21,Produits metalliques,95,9
21,Produits mineraux,4,2
21,Transports terrestres,161,18
21,Travail bois,11,1
21,Travaux construction spec.,371,81
22,Caoutchouc/plastique,23,1
22,Commerce gros,35,8
22,Construction batiments,0,0
22,Entreposage / services transport,52,4
22,Fabrication boissons,1,1
22,Genie civil,0,0
22,Ind. alimentaires,36,7
22,Industrie automobile,24,1
22,Industrie chimique,11,1
22,Industries extractives,57,4
22,Machines/equipements,23,2
22,Metallurgie,0,0
22,Produits metalliques,17,2
22,Produits mineraux,34,4
22,Transports terrestres,47,6
22,Travail bois,63,5
22,Travaux construction spec.,126,29
23,Commerce gros,128,17
23,Construction batiments,36,1
23,Entreposage / services transport,14,1
23,Fabrication boissons,5,1
23,Genie civil,4,1
23,Ind. alimentaires,128,11
23,Industrie automobile,0,0
23,Industrie chimique,5,1
23,Industries extractives,0,0
23,Machines/equipements,84,1
23,Produits metalliques,27,5
23,Produits mineraux,10,2
23,Transports terrestres,51,6
23,Travail bois,30,2
23,Travaux construction spec.,199,39
24,Caoutchouc/plastique,197,4
24,Commerce gros,154,29
24,Construction batiments,30,3
24,Entreposage / services transport,166,7
24,Genie civil,0,0
24,Ind. alimentaires,108,20
24,Industrie papier/carton,32,1
24,Industries extractives,0,0
24,Machines/equipements,66,3
24,Metallurgie,36,2
24,Produits metalliques,232,12
24,Produits mineraux,5,3
24,Transports terrestres,149,12
24,Travail bois,8,1
24,Travaux construction spec.,568,87
25,Caoutchouc/plastique,131,4
25,Commerce gros,42,10
25,Construction batiments,0,0
25,Entreposage / services transport,28,3
25,Fabrication boissons,2,1
25,Genie civil,12,2
25,Ind. alimentaires,76,14
25,Industrie automobile,292,1
25,Industrie chimique,0,0
25,Machines/equipements,17,1
25,Produits metalliques,314,4
25,Produits mineraux,17,2
25,Transports terrestres,449,10
25,Travail bois,24,1
25,Travaux construction spec.,262,48
26,Autres materiels transport,324,3
26,Caoutchouc/plastique,118,4
26,Commerce gros,4729,487
26,Construction batiments,1072,99
26,Entreposage / services transport,3897,143
26,Fabrication boissons,459,21
26,Genie civil,1844,40
26,Ind. alimentaires,2666,315
26,Industrie automobile,33,9
26,Industrie chimique,168,12
26,Industrie papier/carton,18,1
26,Industries extractives,23,9
26,Machines/equipements,753,21
26,Metallurgie,0,0
26,Produits metalliques,748,43
26,Produits mineraux,139,16
26,Transports terrestres,10667,239
26,Travail bois,6,1
26,Travaux construction spec.,9445,924
27,Autres materiels transport,3124,34
27,Caoutchouc/plastique,3189,22
27,Commerce gros,41349,4333
27,Construction batiments,9357,855
27,Entreposage / services transport,37660,1318
27,Fabrication boissons,4197,174
27,Genie civil,12436,298
27,Ind. alimentaires,20443,2809
27,Industrie automobile,818,38
27,Industrie chimique,2174,99
27,Industrie papier/carton,822,10
27,Industries extractives,359,75
27,Machines/equipements,5010,169
27,Metallurgie,156,11
27,Produits metalliques,7400,330
27,Produits mineraux,451,101
27,Transports terrestres,101453,2170
27,Travail bois,124,15
27,Travaux construction spec.,60943,7331
28,Caoutchouc/plastique,622,11
28,Commerce gros,1437,84
28,Construction batiments,93,25
28,Entreposage / services transport,618,20
28,Fabrication boissons,9,3
28,Genie civil,57,3
28,Ind. alimentaires,3110,111
28,Industrie automobile,0,0
28,Industrie chimique,13,4
28,Industrie papier/carton,78,2
28,Industries extractives,4,1
28,Machines/equipements,59,5
28,Produits metalliques,590,23
28,Produits mineraux,284,4
28,Transports terrestres,810,63
28,Travail bois,54,7
28,Travaux construction spec.,1596,289
29,Caoutchouc/plastique,2,2
29,Commerce gros,2218,267
